x,y,layer1,layer2,voltage1,voltage2,current
6026.4,1201.94,TOP_LAYER,LAYER_1,0.00119223,0.00119497,-0.0184032
6026.4,1201.94,LAYER_1,LAYER_2,0.00119497,0.00120997,-0.0184032
6026.4,1201.94,LAYER_2,BOTTOM_LAYER,0.00120997,0.00120997,-1.45856e-15
6026.4,1343.67,TOP_LAYER,LAYER_1,0.0012377,0.00123886,-0.00780522
6026.4,1343.67,LAYER_1,LAYER_2,0.00123886,0.00124522,-0.00780522
6026.4,1343.67,LAYER_2,BOTTOM_LAYER,0.00124522,0.00124522,-0
6026.4,1485.4,TOP_LAYER,LAYER_1,0.00124966,0.00125047,-0.00545298
6026.4,1485.4,LAYER_1,LAYER_2,0.00125047,0.00125491,-0.00545298
6026.4,1485.4,LAYER_2,BOTTOM_LAYER,0.00125491,0.00125491,-0
6026.4,1627.14,TOP_LAYER,LAYER_1,0.00125153,0.00125217,-0.00434533
6026.4,1627.14,LAYER_1,LAYER_2,0.00125217,0.00125571,-0.00434533
6026.4,1627.14,LAYER_2,BOTTOM_LAYER,0.00125571,0.00125571,-0
6061.84,1131.07,TOP_LAYER,LAYER_1,0.000720348,0.000740579,-0.136085
6061.84,1131.07,LAYER_1,LAYER_2,0.000740579,0.000851534,-0.136085
6061.84,1131.07,LAYER_2,BOTTOM_LAYER,0.000851534,0.000851534,-0
6061.84,1272.81,TOP_LAYER,LAYER_1,0.00110731,0.00111571,-0.0565361
6061.84,1272.81,LAYER_1,LAYER_2,0.00111571,0.00116181,-0.0565361
6061.84,1272.81,LAYER_2,BOTTOM_LAYER,0.00116181,0.00116181,-0
6061.84,1556.27,TOP_LAYER,LAYER_1,0.00123656,0.00123741,-0.00573026
6061.84,1556.27,LAYER_1,LAYER_2,0.00123741,0.00124208,-0.00573026
